1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 17 1
18 18 1
19 19 1
20 20 1
21 21 1
22 22 1
23 23 1
24 24 1
25 25 1
26 26 1
27 27 1
28 28 1
29 29 1
30 30 1
31 31 1
32 32 1
33 33 1
34 34 1
35 35 1
36 36 1
37 37 1
38 38 1
39 39 1
40 40 1
41 41 1
42 42 1
43 43 1
44 44 1
45 45 1
46 46 1
47 47 1
48 48 1
49 49 1
50 50 1
51 51 1
52 52 1
53 53 1
54 54 1
55 55 1
56 56 1
57 57 1
58 58 1
59 59 1
60 60 1
61 61 1
62 62 1
63 63 1
64 64 1
65 65 1
66 66 1
67 67 1
68 68 1
69 69 1
70 70 1
71 71 1
72 72 1
73 73 1
74 74 1
75 75 1
76 76 1
77 77 1
78 78 1
79 79 1
80 80 1
81 81 1
82 82 1
83 83 1
84 84 1
85 85 1
1 6 1
6 1 1
7 1 1
1 7 1
1 2 1
2 1 1
3 2 1
2 3 1
2 9 1
9 2 1
10 2 1
2 10 1
3 4 1
4 3 1
10 3 1
3 10 1
4 5 1
5 4 1
10 4 1
4 10 1
4 12 1
12 4 1
5 23 1
23 5 1
6 13 1
13 6 1
14 6 1
6 14 1
6 7 1
7 6 1
8 7 1
7 8 1
7 15 1
15 7 1
16 7 1
7 16 1
8 9 1
9 8 1
16 8 1
8 16 1
8 9 1
9 8 1
10 9 1
9 10 1
9 18 1
18 9 1
19 9 1
9 19 1
9 10 1
10 9 1
11 10 1
10 11 1
11 12 1
12 11 1
20 11 1
11 20 1
11 22 1
22 11 1
12 23 1
23 12 1
13 45 1
45 13 1
14 45 1
45 14 1
46 14 1
14 46 1
14 15 1
15 14 1
16 15 1
15 16 1
15 31 1
31 15 1
47 15 1
15 47 1
15 16 1
16 15 1
17 16 1
16 17 1
16 17 1
17 16 1
18 17 1
17 18 1
17 30 1
30 17 1
31 17 1
17 31 1
18 19 1
19 18 1
28 18 1
18 28 1
18 19 1
19 18 1
20 19 1
19 20 1
19 28 1
28 19 1
20 27 1
27 20 1
21 24 1
24 21 1
25 21 1
21 25 1
21 27 1
27 21 1
22 24 1
24 22 1
23 32 1
32 23 1
24 32 1
32 24 1
33 24 1
24 33 1
24 25 1
25 24 1
26 25 1
25 26 1
25 26 1
26 25 1
27 26 1
26 27 1
26 36 1
36 26 1
37 26 1
26 37 1
27 28 1
28 27 1
37 27 1
27 37 1
27 28 1
28 27 1
29 28 1
28 29 1
28 29 1
29 28 1
30 29 1
29 30 1
29 40 1
40 29 1
30 40 1
40 30 1
42 30 1
30 42 1
30 31 1
31 30 1
43 31 1
31 43 1
31 49 1
49 31 1
32 64 1
64 32 1
33 63 1
63 33 1
64 33 1
33 64 1
34 35 1
35 34 1
36 34 1
34 36 1
34 65 1
65 34 1
35 38 1
38 35 1
65 35 1
35 65 1
35 36 1
36 35 1
37 36 1
36 37 1
36 37 1
37 36 1
38 37 1
37 38 1
37 38 1
38 37 1
39 38 1
38 39 1
38 67 1
67 38 1
69 38 1
38 69 1
39 40 1
40 39 1
41 39 1
39 41 1
39 70 1
70 39 1
40 42 1
42 40 1
71 40 1
40 71 1
41 70 1
70 41 1
71 41 1
41 71 1
42 43 1
43 42 1
50 42 1
42 50 1
42 72 1
72 42 1
43 50 1
50 43 1
51 43 1
43 51 1
44 45 1
45 44 1
52 44 1
44 52 1
44 54 1
54 44 1
45 52 1
52 45 1
57 45 1
45 57 1
46 47 1
47 46 1
57 46 1
46 57 1
46 47 1
47 46 1
48 47 1
47 48 1
47 48 1
48 47 1
49 48 1
48 49 1
48 59 1
59 48 1
49 59 1
59 49 1
60 49 1
49 60 1
50 51 1
51 50 1
72 50 1
50 72 1
50 51 1
51 50 1
60 51 1
51 60 1
51 73 1
73 51 1
52 57 1
57 52 1
81 52 1
52 81 1
53 54 1
54 53 1
55 53 1
53 55 1
53 54 1
54 53 1
55 54 1
54 55 1
54 81 1
81 54 1
55 83 1
83 55 1
84 55 1
55 84 1
55 56 1
56 55 1
81 56 1
56 81 1
56 83 1
83 56 1
57 80 1
80 57 1
81 57 1
57 81 1
58 59 1
59 58 1
80 58 1
58 80 1
59 60 1
60 59 1
61 59 1
59 61 1
59 80 1
80 59 1
60 61 1
61 60 1
62 61 1
61 62 1
61 76 1
76 61 1
78 61 1
61 78 1
61 62 1
62 61 1
73 62 1
62 73 1
62 76 1
76 62 1
78 62 1
62 78 1
63 64 1
64 63 1
64 65 1
65 64 1
66 65 1
65 66 1
66 67 1
67 66 1
67 69 1
69 67 1
68 69 1
69 68 1
70 69 1
69 70 1
70 71 1
71 70 1
71 72 1
72 71 1
73 72 1
72 73 1
73 74 1
74 73 1
74 76 1
76 74 1
75 76 1
76 75 1
77 76 1
76 77 1
76 77 1
77 76 1
78 77 1
77 78 1
78 79 1
79 78 1
79 80 1
80 79 1
81 80 1
80 81 1
81 82 1
82 81 1
82 83 1
83 82 1
84 83 1
83 84 1
84 85 1
85 84 1
